t_us,ax,ay,az,roll,pitch,yaw
20573334,1.841591477394104,-4.2538957595825195,-8.428311347961426,1.5706658363342285,-1.6243481636047363,0.26786184310913086
20606254,1.7634698152542114,-4.244181156158447,-8.52633285522461,1.677480697631836,-0.8537557125091553,0.4814913868904114
20639259,1.6715538501739502,-4.260744571685791,-8.510293960571289,1.3188881874084473,-0.9147927761077881,0.7180098295211792
20672265,1.7935184240341187,-4.259207248687744,-8.460883140563965,0.998443603515625,-0.34257078170776367,1.0537134408950806
20705272,1.7420576810836792,-4.327260971069336,-8.474752426147461,0.24311065673828125,-0.022126436233520508,1.015565276145935
20738278,1.7430020570755005,-4.2140984535217285,-8.444561958312988,0.16681432723999023,0.07705879211425781,0.9316394329071045
20771337,1.6369705200195312,-4.401259422302246,-8.598760604858398,0.13629579544067383,0.06942915916442871,0.8171949982643127
20804331,1.7540823221206665,-4.279298305511475,-8.526456832885742,2.5777766704559326,-0.07553386688232422,-0.14413809776306152
20837301,1.6882542371749878,-4.50324010848999,-8.678561210632324,2.1047396659851074,-0.601978063583374,0.7714172601699829
20870308,1.6661722660064697,-4.274631500244141,-8.47786808013916,3.8137762546539307,-1.6396074295043945,0.10763967037200928
20903309,1.5909405946731567,-4.502859592437744,-8.691118240356445,1.769036054611206,-1.975311040878296,0.42808401584625244
20936316,1.7191170454025269,-4.567095756530762,-8.53824234008789,3.615406036376953,-2.906125545501709,0.9621579647064209
20969372,1.5968409776687622,-4.480979919433594,-8.396214485168457,10.42103385925293,-3.7759029865264893,0.5959358215332031
21002359,1.336300253868103,-4.364896774291992,-8.353809356689453,13.060884475708008,-5.217902660369873,-0.5561379194259644
21035338,0.9005473852157593,-3.5457537174224854,-7.909643650054932,12.763328552246094,-9.040346145629883,-2.257544994354248
21068341,1.3124196529388428,-2.5418412685394287,-7.895873546600342,-2.6866660118103027,-12.305827140808105,-1.1665080785751343
21101348,1.0922954082489014,-2.1077146530151367,-7.730045318603516,-27.276954650878906,-13.480789184570312,1.6640836000442505
21134353,1.3220442533493042,-2.1907002925872803,-7.317116737365723,-48.89931869506836,-9.0708646774292,4.082675457000732
21167409,1.0705287456512451,-1.5690803527832031,-8.129023551940918,-65.64634704589844,-11.832789421081543,5.066897392272949
21200397,1.3790794610977173,-0.9755199551582336,-8.268171310424805,-85.61308288574219,-11.176641464233398,5.127934455871582
21233376,2.0439064502716064,-1.2667020559310913,-8.017370223999023,-119.2597427368164,-5.835902214050293,14.481858253479004
21266383,0.7055435180664062,-1.9940605163574219,-7.867990970611572,-144.01025390625,-4.2489399909973145,26.24674415588379
21299384,1.5799267292022705,-1.4353779554367065,-8.850584030151367,-143.979736328125,-13.816493034362793,27.513261795043945
21332391,2.0631103515625,-0.6913744211196899,-10.15682315826416,-138.63137817382812,-8.529160499572754,26.75029945373535
21365447,0.9355407953262329,0.22223182022571564,-9.953889846801758,-153.6083221435547,-12.313456535339355,33.3575553894043
21398434,1.307045578956604,0.3014901280403137,-11.551673889160156,-129.842041015625,-15.41108512878418,29.062076568603516
21431415,0.6447222232818604,1.6118226051330566,-10.990409851074219,-98.82759857177734,-15.563677787780762,21.455337524414062
21464416,0.7702791690826416,1.0180518627166748,-11.428084373474121,-93.80730438232422,-33.172855377197266,20.677114486694336
21497422,1.1743927001953125,1.8200531005859375,-11.640762329101562,-67.77501678466797,-45.21240997314453,12.330303192138672
21530428,0.9803414344787598,1.508234977722168,-11.31496810913086,-50.49391174316406,-51.041446685791016,5.600971221923828
21563484,-0.5104018449783325,2.502216100692749,-10.939605712890625,-25.506881713867188,-53.20825958251953,2.2973427772521973
21596503,-0.9193605184555054,2.722203016281128,-11.15627670288086,7.81933069229126,-60.76921844482422,1.389417052268982
21629482,0.10716494917869568,3.226013660430908,-11.172877311706543,23.643177032470703,-59.49507141113281,-5.820580959320068
21662458,-0.9888845682144165,3.0039775371551514,-10.534416198730469,18.531328201293945,-50.04959487915039,-3.325692653656006
21695459,-1.325173020362854,1.2753241062164307,-9.596516609191895,24.825769424438477,-41.51203918457031,-2.5169520378112793
21728466,-2.3597586154937744,1.6541281938552856,-8.860008239746094,41.832210540771484,-29.548784255981445,0.7256394624710083
21761487,-1.3834569454193115,0.8003933429718018,-8.608804702758789,48.775169372558594,-14.701529502868652,5.677267551422119
21794557,0.9156053066253662,1.6471556425094604,-9.115216255187988,53.253761291503906,0.9926140308380127,12.055636405944824
21827489,-1.8341329097747803,1.2715703248977661,-7.400238990783691,43.62517166137695,22.18008804321289,13.085636138916016
21860491,-1.6514827013015747,1.0872143507003784,-8.660110473632812,21.186437606811523,26.34586524963379,20.600818634033203
21893498,-0.7197341918945312,0.7845291495323181,-7.939439296722412,19.645252227783203,31.762901306152344,19.441116333007812
21926503,-0.6257708072662354,0.7682948112487793,-7.779353618621826,22.079103469848633,39.3848991394043,18.25852394104004
21992623,-0.515508770942688,0.9621783494949341,-5.198528289794922,21.31614112854004,75.50355529785156,31.038148880004883
