seq,ax,ay,az,roll,pitch,yaw
1,-0.1305413544178009,-0.41413751244544983,9.828185081481934,0.0,0.0,0.0
2,-0.2473345696926117,-0.36497142910957336,9.81861400604248,-0.021764163970656246,-0.04496528982574715,0.047532595694065094
3,-0.23789702355861664,-0.4679007828235626,9.8029146194458,-0.041041177028286926,-0.12350137963755342,0.10574667155742645
4,-0.18600089848041534,-0.3784203827381134,9.72546100616455,-0.062382696457966694,-0.16768205773076797,0.17082741111516953
5,-0.05126591771841049,-0.285338431596756,9.656868934631348,-0.05141939900891436,-0.23911165308198715,0.26210319995880127
6,-0.4473188817501068,-0.27010378241539,9.7722749710083,-0.05689106351734474,-0.2507722899800986,0.4011913239955902
7,-0.24166935682296753,-0.8009473085403442,9.36142635345459,-0.030414192295087128,-0.20724883307878672,0.5479090809822083
8,-0.8460996150970459,-0.8611063957214355,9.707075119018555,-0.05182229446134995,0.20502464971981071,0.6328268498182297
9,-1.2207849025726318,-0.9938185214996338,9.57874584197998,-0.0680713364656968,0.6340986391111376,0.6180508183315396
10,0.0715039074420929,-0.2181703746318817,9.48461627960205,-0.16951789053044747,1.347503473381615,0.5346081303432584
11,0.4614761173725128,-0.39837703108787537,9.082493782043457,-0.3152162888821168,2.6107501288457873,0.7415999369695783
12,0.4904037415981293,-0.6848961114883423,10.353261947631836,-0.44947023780904244,4.489453365425682,1.174428720958531
13,-1.2563906908035278,-1.1732878684997559,10.11717414855957,-0.6709562549170061,6.458694984535789,1.5093439714983106
14,-1.5108096599578857,-1.4023005962371826,8.998839378356934,-0.860397846418242,8.29009466371975,1.7112493561580777
15,-1.2555632591247559,-1.6064015626907349,9.403359413146973,-0.950908602195601,9.779432584862327,1.7498807171359658
16,-1.3344587087631226,-1.8153177499771118,9.4757661819458,-0.967743021361002,10.841050568199263,1.6623688945546746
17,-0.8570233583450317,-1.0844851732254028,9.442937850952148,-0.7339946002880421,11.659489932632551,1.4955089697614312
18,-1.1932730674743652,-0.7308897972106934,9.579490661621094,-0.38427582096255686,12.510990980243788,1.5961946407333016
19,-2.3003318309783936,0.13454218208789825,9.916312217712402,0.11320340920292471,13.494484606361494,1.978922233916819
20,-3.5796802043914795,0.7357298135757446,10.102876663208008,0.6401838688930187,14.344205442047224,2.708034918643534
21,-2.965208053588867,0.6099661588668823,7.792351245880127,1.2388828425487195,15.390261951065169,3.552863643504679
22,-3.4164605140686035,1.4588490724563599,8.567410469055176,1.623443576582304,16.896639409637558,4.732378647662699
23,-4.598993301391602,0.5507744550704956,10.62834358215332,1.561416766681305,18.465325537300217,6.294900939799845
24,-3.4230968952178955,-0.7982585430145264,9.329800605773926,1.676905966438881,19.66829818782817,7.353104875423014
25,-3.7763290405273438,0.04773980379104614,8.74748706817627,2.1438666946073686,20.88271528778087,7.936491654254496
26,-4.038903713226318,1.524206519126892,8.524540901184082,2.6138792699953233,22.190468135452377,8.452737734653056
27,-4.076667308807373,1.174009084701538,8.539447784423828,2.9279931253572617,23.207277837371933,8.717969045974314
28,-4.361043453216553,0.651186466217041,8.547164916992188,3.048823065199486,23.997487547969925,8.752022636123002
29,-3.957192897796631,0.7476654052734375,8.563246726989746,2.9112629360338365,24.551687422371018,8.595844191499054
30,-3.860959529876709,0.9784133434295654,9.351161003112793,2.4588535195966874,24.773235532617676,8.201112699694932
31,-5.011643409729004,-0.08582493662834167,9.862969398498535,1.65141210619413,24.578714597201454,7.422356617636979
32,-5.284773826599121,-0.34232380986213684,8.466114044189453,0.6567904717107926,24.37859860358249,6.370205533690751
33,-4.348446369171143,-0.7946357727050781,6.59926176071167,-0.00492509540117636,24.668304714536774,5.978271585889161
34,-4.52310848236084,-0.6257985830307007,9.222548484802246,-0.1005222731450881,25.16502809820186,5.390510481782258
35,-4.675634860992432,0.666202187538147,9.75920581817627,-0.05344540711439505,25.487287315702545,4.75163094419986
36,-4.587937355041504,-0.8749674558639526,7.705866813659668,-0.20702775653398886,25.665855202055084,4.675054919905961
37,-4.3568339347839355,-0.9773645401000977,7.587198257446289,-0.11035830613172903,26.015072438097107,4.764804792590439
38,-5.089605808258057,-1.1045745611190796,8.121170997619629,0.3362567341705476,26.07716132996093,4.649571989662945
39,-5.542001724243164,0.10561668872833252,9.104720115661621,0.8151705479999696,25.929944100952255,4.512721915729344
40,-5.1584038734436035,0.5939590930938721,6.540604591369629,1.0730794585128938,26.168786051845657,4.5747508043423295
41,-5.0286407470703125,-0.06042948365211487,8.095857620239258,1.496042660512558,27.001467350101578,4.54903897177428
42,-5.130982875823975,-0.16791343688964844,8.375420570373535,1.7569025162660554,27.943194147862844,4.540366646833718
43,-4.712350368499756,-0.48100849986076355,8.484270095825195,1.8983324471914247,28.6540557115454,4.49278321582824
44,-4.847577095031738,-0.44338056445121765,8.48065185546875,2.0697540421576632,29.30626692179183,4.2758220406249166
45,-4.500962257385254,-0.13361576199531555,7.989007472991943,2.451262958774103,30.084014850888053,3.9126263530924916
46,-5.287567615509033,0.06794434785842896,8.166966438293457,2.8960977573485507,30.959930735859672,3.5611294182017446
47,-5.120482921600342,0.23709362745285034,7.870553493499756,3.258023955354227,31.872214514050285,3.2943213852122426
48,-5.081546306610107,0.21101585030555725,7.947423934936523,3.540856339463724,33.074424225125114,3.1442466052249074
49,-5.325565338134766,-0.26285305619239807,8.505690574645996,3.824451663026346,34.33843382004241,3.021384191699326
50,-5.690748691558838,0.14385125041007996,8.312793731689453,4.081597604283823,35.56048043373565,2.9071686761453748
51,-5.778504371643066,-0.00814470648765564,7.499149322509766,4.239812724718584,36.572712260517875,2.9018025174736977
52,-5.953818321228027,-0.06471151113510132,7.666187286376953,4.396247588524355,37.63275642994384,2.8298042714595795
53,-5.834798336029053,0.09260101616382599,6.98172664642334,4.418655325153603,38.697887140545646,2.9172652512788773
54,-6.043747425079346,0.1771146059036255,7.482579708099365,4.440045778134598,39.986820179257194,3.090686708688736
55,-6.551172256469727,0.04791128635406494,7.194631576538086,4.367221660402757,41.30557493439158,3.2986958026885986
56,-6.858829498291016,0.4135361611843109,7.556208610534668,4.2675553480658355,42.415720264820656,3.4540604650974274
57,-7.752368927001953,0.5883369445800781,7.414488792419434,4.139405093577844,43.124038617519936,3.564156010746956
58,-7.971794605255127,-0.5205501317977905,6.549113750457764,4.064153588798982,43.21283120235642,3.6302540376782417
59,-6.879892826080322,0.055413514375686646,5.780663013458252,4.011536653575641,43.06408803483685,3.6983866319060326
60,-7.218203067779541,0.392886757850647,6.072486877441406,3.9492555218312564,43.130754704980454,3.8344229087233543
61,-7.32621431350708,0.5272393822669983,6.627841472625732,3.9289373415086093,43.0092238815709,3.926715984940529
62,-7.044198036193848,0.7464386224746704,6.538769721984863,3.880643862721664,42.789779502360425,4.021297954022884
63,-7.3283915519714355,0.319091260433197,6.377346992492676,3.8043750780198398,42.6952066974922,4.248889766633511
64,-7.2735209465026855,-0.02339264750480652,6.584921360015869,3.6535621266613094,42.88949082626255,4.3902667835354805
65,-6.876068592071533,0.18991729617118835,6.826623439788818,3.5935698840568153,42.88520194610806,4.534695647656918
66,-6.406661033630371,0.32723623514175415,6.783687114715576,3.4621134493301002,42.93940689062925,4.602319598197937
67,-6.803394794464111,-0.06750640273094177,7.327098369598389,3.3415928203413574,43.13374266421648,4.541765797883272
68,-7.040499687194824,0.15581750869750977,6.909394264221191,3.1907021547292467,43.34985772878543,4.415597204118967
69,-6.964890956878662,0.023687928915023804,6.727924346923828,3.216924707833409,43.41347254425899,4.230934787541628
70,-6.801037311553955,0.18109697103500366,6.654755592346191,3.315883043650269,43.393924413106,4.080351386219263
71,-6.363039016723633,0.07548657059669495,6.486756324768066,3.3614339860712286,43.500010816237484,3.973765503615141
72,-6.7245402336120605,0.318678617477417,6.7220139503479,3.4535256656442876,43.86067247190193,3.7768957130610943
73,-7.04725456237793,0.13924339413642883,6.7806196212768555,3.4794442790980584,44.22122376763734,3.668529573827982
74,-7.040378570556641,0.016369789838790894,6.700050354003906,3.4782001711382664,44.56026815974626,3.591444928199053
75,-7.354336261749268,-0.10617896914482117,6.503407955169678,3.436899170554395,44.985271595772495,3.5232615135610104
76,-7.5337300300598145,0.12200586497783661,6.479844570159912,3.4381982697361737,45.31236290222048,3.4754237681627274
77,-7.0925116539001465,0.013214319944381714,6.2922043800354,3.4430578643643885,45.51025915926336,3.447677368298173
78,-6.825389385223389,0.02157953381538391,6.2437591552734375,3.433166842367652,45.76283443754553,3.513521069660783
