seq,ax,ay,az,roll,pitch,yaw
1,-1.0462366342544556,-0.03669458627700806,9.853316307067871,0.0,0.0,0.0
2,-0.8955304622650146,0.056222885847091675,9.60224723815918,-0.003278676886111498,-0.0533728152513504,0.049058523029088974
3,-0.8780348300933838,-0.05759793519973755,9.818214416503906,-0.017318221922032535,0.04915656809713998,0.07904297485947609
4,-1.0748134851455688,-0.02779299020767212,10.030261039733887,-0.017036403187084943,-0.03600636209342322,0.12657557055354118
5,-0.7397632598876953,0.028640449047088623,9.522375106811523,0.001810840673279017,-0.34904080714080177,0.19801433011889458
6,-0.6676080226898193,-0.025085896253585815,9.651030540466309,-0.001467836212832481,-0.49930989827010475,0.2745395116508007
7,-0.7142647504806519,-0.10134544968605042,9.677680015563965,-0.012630459975916893,-0.494188905143921,0.33504247665405273
8,-0.8858140707015991,0.15390115976333618,9.758339881896973,-0.00847697852352382,-0.37692440861325927,0.4250466674566269
9,-0.9684635400772095,0.1051306426525116,9.773162841796875,-0.01617009704749903,-0.35857903773027616,0.5333619639277458
10,-0.6460862159729004,-0.008404582738876343,9.722023010253906,-0.045187390058355544,-0.46573911554995917,0.6419315859675407
11,-0.4748678505420685,-0.04398331046104431,9.706767082214355,-0.07974754518182775,-0.529030449165739,0.7342246621847153
12,-0.4182400405406952,0.05309203267097473,9.860187530517578,-0.13481750391128255,-0.459133205446454,0.8867917954921722
13,-0.7100863456726074,-0.07321494817733765,9.775303840637207,-0.18681898417999915,-0.36361320835015143,1.0271515250205994
14,-0.8958749771118164,-0.13919082283973694,9.716217994689941,-0.21538867775625245,-0.29216145339052363,1.124785341322422
15,-0.8292824029922485,-0.054353147745132446,9.382926940917969,-0.2425735199106361,-0.19243307026664896,1.2651450708508492
16,-1.3021304607391357,-0.31671342253685,9.576756477355957,-0.2753534258556988,0.1369471141453536,1.357946790754795
17,-1.221267580986023,-0.06016382575035095,9.031950950622559,-0.25726914566284675,0.4136828669663222,1.4441361650824547
18,-1.2313599586486816,0.056034743785858154,8.806464195251465,-0.26690584674752016,1.0034876951332838,1.4911601208150387
19,-1.5943247079849243,0.22482658922672272,7.967777252197266,-0.3627573351589467,1.7334233411904127,1.6739914529025555
20,-0.6994146108627319,-0.05140596628189087,7.977378845214844,-0.5717816452709462,2.7204774507637772,1.888867225497961
21,-0.44249334931373596,-0.6442573070526123,8.329397201538086,-0.7004405359951283,3.916329015171126,1.9793800599873066
22,-1.2210941314697266,0.4900965988636017,11.597981452941895,-0.7421216729310777,5.2032275089379105,2.0355595648288727
23,-0.8490830659866333,0.32093462347984314,13.300125122070312,-0.821696630421045,5.3093139120693955,2.3249513506889343
24,-2.16751766204834,-0.29464593529701233,14.81270694732666,-0.9938444110778596,5.387170698618487,2.719123363494873
25,-2.480973720550537,-0.35591426491737366,13.985410690307617,-1.0820662814406181,5.537763279056147,3.2104459702968597
26,-3.5504441261291504,-0.5647773742675781,9.743300437927246,-0.9413993197706962,6.831782739734248,3.725674718618393
27,-3.870058059692383,0.07154470682144165,7.837314605712891,-0.7282508897808815,9.874512832736567,4.007436901330948
28,-3.0051965713500977,0.4451792240142822,6.252382755279541,-0.5255296218422676,13.176650207614497,4.025468269363046
29,-1.8367663621902466,0.40488019585609436,5.829613208770752,-0.46243053555763014,16.02711359796484,3.8746305499225855
30,-1.1029016971588135,0.057829976081848145,5.496316909790039,-0.35507960498607405,18.008816760158137,3.7629582453519106
31,-2.410653829574585,-0.7099648714065552,5.966179847717285,-0.20017066479003676,18.999177079772547,3.603473635390401
32,-3.4637534618377686,0.0737188458442688,7.062486171722412,-0.06204691410339125,18.557710539674357,3.4490754026919603
33,-3.847066640853882,0.9398922920227051,8.510886192321777,0.18212865411960832,16.93059993920286,3.4429462808184326
34,-3.015026330947876,1.452954649925232,11.492632865905762,0.5727930825921272,14.573333751535014,3.7035998362116516
35,-3.5540521144866943,0.10334435105323792,16.237354278564453,0.06926514327251665,12.350857745980814,3.5939620989374816
36,-5.111269474029541,0.4429841935634613,10.134907722473145,-0.1209394174841667,11.16677416501005,2.8869245308451355
37,-0.737119197845459,-0.35753193497657776,10.690661430358887,-0.2615513938692833,11.44681606826742,2.0662054675631225
38,-2.9516799449920654,-2.2152130603790283,9.897256851196289,-0.3685930135873581,10.854282837485865,1.346197511535138
39,-2.1502370834350586,-0.18377891182899475,7.574678421020508,-0.7945530775216842,10.072026293849543,0.5943994778208435
40,-2.2124946117401123,-0.1881873905658722,8.228866577148438,-1.056984788480165,9.960413981353835,-0.2754034739919007
41,-2.628403663635254,-0.9950700998306274,9.843401908874512,-1.265754765572908,10.088880647098616,-0.5478065949864686
42,-2.1256508827209473,-1.8153654336929321,10.0058012008667,-1.4930901888040329,10.17411273357828,-0.47789375903084874
44,-1.8118683099746704,-0.6734822988510132,8.66318130493164,-1.1825368467000748,10.38447071251829,-0.6147438329644501
45,-2.3103926181793213,-0.14776182174682617,8.720113754272461,-0.6214773717550064,10.6924879365917,-0.7231099721975625
46,-4.347111701965332,0.5262855887413025,10.198224067687988,0.1509227690073227,11.096129845952586,-0.5240020868368447
47,-5.4202470779418945,0.7251699566841125,10.271101951599121,0.9276463326784348,11.212897721802786,-0.11863992782309651
48,-2.705763101577759,1.6726621389389038,8.802212715148926,1.7389575776430344,11.132821213578776,0.5718159857206047
49,-1.4369001388549805,0.34547513723373413,9.08468246459961,2.3246861633630966,10.880315106486872,1.847972888033837
50,-1.504400610923767,0.16735197603702545,10.023260116577148,2.6853407558771347,10.274811547374323,2.9333890858106315
