seq,ax,ay,az,roll,pitch,yaw
1818,0.013234853744506836,-9.791094779968262,-0.03788752853870392,-0.04681539535522461,-0.014496803283691406,-0.060212135314941406
1819,0.025477439165115356,-9.808856010437012,0.014923706650733948,0.006592273712158203,-0.014496803283691406,-0.0449528694152832
1820,0.005515873432159424,-9.796627044677734,-0.002143546938896179,-0.031556129455566406,-0.03738570213317871,-0.06784176826477051
1821,0.02184024453163147,-9.813592910766602,0.014350831508636475,-0.07733345031738281,-0.03738570213317871,-0.09836030006408691
1822,0.00751572847366333,-9.798325538635254,-0.01909005641937256,-0.07733345031738281,-0.02975606918334961,-0.0449528694152832
1823,0.003362119197845459,-9.805681228637695,0.016760647296905518,-0.0086669921875,-0.02975606918334961,-0.06784176826477051
1824,-0.012995690107345581,-9.80949592590332,-0.015779495239257812,-0.08496332168579102,-0.03738570213317871,-0.09073066711425781
1825,0.012261301279067993,-9.785337448120117,-0.004563570022583008,-0.09259271621704102,0.0312809944152832,-0.07547140121459961
1826,0.02591097354888916,-9.8021240234375,-0.011601567268371582,-0.05444478988647461,0.0236513614654541,-0.06784176826477051
1827,-0.003010183572769165,-9.812641143798828,-0.004953622817993164,-0.06207466125488281,0.008392095565795898,-0.0449528694152832
1828,0.01570400595664978,-9.813019752502441,0.026538968086242676,-0.031556129455566406,-0.03738570213317871,-0.060212135314941406
1829,0.009647578001022339,-9.798471450805664,0.0003225654363632202,-0.031556129455566406,0.008392095565795898,-0.10598993301391602
1830,0.005622923374176025,-9.808732986450195,0.02390594780445099,-0.031556129455566406,-0.022126436233520508,-0.07547140121459961
1831,0.011011391878128052,-9.793656349182129,-0.00795532763004303,-0.06207466125488281,-0.060274600982666016,-0.11361956596374512
1832,0.007344424724578857,-9.807597160339355,0.030375391244888306,-0.08496332168579102,0.008392095565795898,-0.014434337615966797
1833,0.011370986700057983,-9.799116134643555,0.005064621567726135,-0.05444478988647461,-0.02975606918334961,-0.06784176826477051
1834,0.01063486933708191,-9.809854507446289,0.005836457014083862,-0.05444478988647461,-0.006867170333862305,-0.07547140121459961
1835,0.016393691301345825,-9.81060791015625,0.02181325852870941,-0.031556129455566406,0.016021728515625,-0.08310103416442871
1836,0.015663355588912964,-9.819271087646484,-0.02088111639022827,-0.031556129455566406,-0.014496803283691406,-0.0449528694152832
1837,0.014220058917999268,-9.792985916137695,-0.023747548460960388,0.03711080551147461,-0.03738570213317871,-0.07547140121459961
1838,0.0047920942306518555,-9.81922435760498,-0.012887820601463318,-0.016296863555908203,-0.060274600982666016,-0.08310103416442871
1839,0.0285930335521698,-9.809416770935059,0.005021095275878906,-0.023926258087158203,0.008392095565795898,-0.12887883186340332
1840,0.021173089742660522,-9.807394981384277,-0.01981613039970398,-0.031556129455566406,0.0312809944152832,-0.08310103416442871
1841,0.009474456310272217,-9.790843963623047,0.020130231976509094,0.014221668243408203,0.008392095565795898,-0.052582502365112305
1842,0.026025056838989258,-9.79079818725586,-0.010049566626548767,-0.11548185348510742,0.0007624626159667969,-0.052582502365112305
1843,0.012157529592514038,-9.799031257629395,-0.009005546569824219,0.06762933731079102,0.0236513614654541,-0.06784176826477051
1844,0.02765524387359619,-9.807794570922852,0.03196732699871063,0.16681432723999023,0.0007624626159667969,-0.06784176826477051
1845,0.012869447469711304,-9.80283260345459,0.023943960666656494,0.14392566680908203,0.038910627365112305,-0.11361956596374512
1846,0.00847095251083374,-9.809137344360352,-0.1004427969455719,-0.5427408218383789,-0.08316349983215332,-0.07547140121459961
1847,0.01639518141746521,-9.80438232421875,-0.01762230694293976,0.021851539611816406,-0.022126436233520508,-0.08310103416442871
1848,0.007033884525299072,-9.826729774475098,0.03659398853778839,-0.04681539535522461,0.0312809944152832,-0.07547140121459961
1849,0.006697416305541992,-9.813255310058594,-0.015894398093223572,-0.09259271621704102,-0.060274600982666016,-0.06784176826477051
1850,0.014078527688980103,-9.793054580688477,-0.013185679912567139,-0.09259271621704102,-0.022126436233520508,-0.060212135314941406
1851,0.013776212930679321,-9.79735279083252,0.005667746067047119,-0.06207466125488281,-0.03738570213317871,-0.0449528694152832
1852,-0.002313971519470215,-9.8013277053833,-0.0022158026695251465,-0.04681539535522461,-0.022126436233520508,-0.08310103416442871
1853,0.005777686834335327,-9.791163444519043,-0.016911476850509644,-0.039185523986816406,-0.07553386688232422,-0.06784176826477051
