seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
48,0.386823,-0.122885,0.038026,10.155128,26.701714,-8.653047,0.725901,33.203743,3.133942,-0.040912,-0.005089,-0.047981
49,0.409584,-0.127040,0.122398,10.521350,30.397505,-8.088454,1.016984,34.028576,2.854917,-0.021272,-0.008843,-0.036421
50,0.304511,-0.107755,0.280565,9.775172,33.063297,-6.594573,1.287496,34.961140,2.610200,-0.003689,-0.011565,-0.027563
51,0.346122,-0.151329,0.245286,8.055454,33.881191,-4.517789,1.505440,35.946892,2.424994,0.012307,-0.017677,-0.015633
52,0.320286,-0.231207,0.309289,6.822506,34.767754,-3.348930,1.665736,36.956573,2.293882,0.028698,-0.026876,-0.002985
53,0.312730,-0.266878,0.223220,5.259959,33.945282,-1.923716,1.773755,37.984268,2.206004,0.044254,-0.038963,0.009112
54,0.311359,-0.182835,0.127515,3.686730,34.094822,-0.146013,1.826723,39.018929,2.171509,0.059586,-0.049841,0.013431
55,0.284973,-0.198665,0.020357,1.971590,34.613636,1.787335,1.824977,40.092499,2.198864,0.074225,-0.059013,0.012825
56,0.211479,-0.103533,0.153594,0.424301,35.201118,2.751720,1.771662,41.176350,2.274515,0.086367,-0.053361,0.015958
57,-0.004886,0.031466,0.229190,-1.283210,33.090763,3.844283,1.767169,42.268883,2.384449,0.073559,-0.044167,0.024311
58,-0.300082,-0.070992,0.264318,-1.854318,27.213928,3.706787,1.629133,43.285305,2.510300,0.065665,-0.036102,0.035432
59,-0.358524,-0.075322,0.020670,-2.283515,18.569065,3.065736,1.482161,44.121426,2.623175,0.048930,-0.031753,0.033321
60,-0.413472,0.004366,-0.132448,-2.458282,11.085327,2.601812,1.406491,44.732216,2.717634,0.029361,-0.026729,0.029311
61,-0.455329,0.034538,-0.270933,-1.952369,3.686261,2.177876,1.351540,45.133774,2.797296,0.007371,-0.020466,0.018010
62,-0.215134,0.053168,-0.349416,-1.434838,-1.847205,2.025860,1.478570,45.948849,2.867358,-0.009660,-0.014434,0.001285
63,-0.084135,0.214623,-0.383628,-1.403610,-2.879304,2.906053,1.536534,45.972752,2.949556,-0.014034,-0.007374,-0.018258
64,-0.123690,0.152313,-0.176903,-1.713286,-1.084673,3.235840,1.942212,46.313210,3.051921,-0.015716,0.002164,-0.033487
65,-0.052038,0.088906,-0.018167,-1.643835,-1.460889,3.178461,2.139433,46.360542,3.158826,-0.016388,0.006836,-0.031874
66,0.109772,0.041810,-0.008778,-2.234912,-0.393149,2.931097,2.193394,46.190346,3.260652,-0.012257,0.008280,-0.027137
67,0.120778,-0.049861,0.113036,-2.601089,2.060738,1.914361,1.584596,45.897804,3.341410,-0.005591,0.006649,-0.020714
68,0.177849,-0.062528,0.221028,-2.880343,3.747693,-0.254970,1.418577,45.908268,3.369066,0.001079,0.003263,-0.013607
69,0.239953,-0.035313,0.250119,-2.006901,3.250332,-2.237065,1.270266,45.918537,3.327533,0.010988,0.000828,-0.003072
70,0.255718,-0.023807,0.215517,-1.052877,3.148583,-3.974120,1.158306,45.922661,3.224013,0.022844,-0.000356,0.007325
71,0.267100,-0.065435,0.157913,-0.013715,3.462234,-4.981326,1.083503,45.940281,3.074755,0.035378,-0.001916,0.015416
72,0.291253,0.015988,0.042088,1.239077,4.462553,-5.761169,1.048730,45.999443,2.895714,0.048801,-0.002372,0.015453
73,0.301109,0.012254,0.027438,2.372847,5.349952,-5.616302,1.053482,46.091202,2.706089,0.063074,-0.001174,0.012854
74,0.301821,0.008759,0.038258,2.185165,7.004892,-4.932782,1.072976,46.222939,2.530271,0.077611,-0.000354,0.010681
75,0.218328,-0.049079,0.036372,1.551906,9.458580,-4.438382,1.078498,46.442387,2.374085,0.090078,-0.000929,0.009110
76,0.023325,-0.038092,0.076210,1.286395,10.784610,-4.085893,1.069512,46.758003,2.232014,0.077042,-0.002337,0.008609
77,-0.009205,-0.096291,0.032817,0.763003,9.808017,-3.071152,1.048485,47.096004,2.112730,0.061949,-0.004423,0.008133
78,0.072198,-0.115304,-0.036717,0.337270,9.273943,-2.025893,1.013482,47.407505,2.027779,0.050769,-0.007660,0.005474
79,0.042611,-0.131309,-0.016610,0.460870,9.055736,-1.067612,0.975446,47.708153,1.976221,0.042802,-0.010974,0.002335
80,0.017647,-0.096417,0.031628,0.437360,6.993970,-0.118674,0.940895,47.964996,1.956449,0.035281,-0.013265,0.001182
81,0.027581,-0.103253,0.046187,0.215405,4.277123,0.527948,0.904186,48.136814,1.963271,0.028916,-0.014547,0.001518
82,0.031656,-0.087801,0.010830,-0.299552,2.326145,0.848697,0.677087,48.190601,1.986215,0.024055,-0.015351,0.001379
83,-0.033609,-0.098837,0.003192,-0.733407,1.288183,0.508195,0.494905,48.289795,2.008830,0.018919,-0.015794,0.000424
84,-0.023031,-0.107827,0.024070,-1.038489,-0.190098,-0.171144,0.349029,48.302612,2.014447,0.013729,-0.016429,-0.000065
85,0.044598,-0.142477,0.028492,-0.961642,-0.858352,-1.300500,0.236771,48.184341,1.989920,0.011120,-0.017670,0.000047
86,0.108292,-0.128247,0.023064,-0.823851,-0.803646,-1.883646,0.155259,47.979637,1.936851,0.011575,-0.018924,0.000114
87,0.054243,-0.137009,0.087538,-0.395397,-0.992781,-2.224814,0.101204,47.751194,1.868376,0.012044,-0.019674,0.001317
88,0.026433,-0.102142,0.177395,-0.013460,-2.628000,-2.594646,0.070792,47.403740,1.788052,0.010737,-0.019625,0.006519
89,0.064832,-0.069243,0.155000,-0.046964,-3.716660,-2.812142,0.066296,47.249691,1.697939,0.009890,-0.018169,0.013283
90,0.060417,-0.008351,0.127305,-0.346508,-3.637615,-2.460191,0.056752,47.085979,1.610067,0.009891,-0.015105,0.015149
91,0.025768,0.017221,0.092245,-0.547678,-3.398812,-1.775894,0.031385,46.804092,1.539465,0.009099,-0.010923,0.015348
92,0.021823,0.006865,0.045563,-0.849993,-3.293289,-0.538429,0.006068,46.599022,1.500893,0.007670,-0.007296,0.013812
93,0.076332,-0.013923,-0.074218,-1.241283,-3.219268,1.120423,-0.021588,46.492966,1.510593,0.007494,-0.005030,0.009283
94,0.084275,0.020366,-0.083221,-1.585798,-3.346920,2.913807,-0.065270,46.384190,1.577830,0.008570,-0.002938,0.003108
95,0.051547,0.079765,-0.039489,-2.293898,-4.262945,4.741378,-0.123435,46.255089,1.705417,0.008937,0.000635,-0.001169
96,0.083633,0.035853,-0.055167,-3.242969,-5.258156,5.824217,-0.204931,46.090740,1.881510,0.009221,0.003828,-0.004051
98,0.126327,0.103028,0.098146,-3.635506,-3.646771,5.668698,-0.303594,45.893463,2.073059,0.010956,0.006870,-0.003601
99,0.152934,0.123794,0.209342,-3.669814,-2.098545,4.775900,-0.404082,45.719048,2.247135,0.013751,0.011094,0.002595
100,0.234842,0.071647,0.309081,-3.214474,-0.735382,3.692463,-0.492879,45.554089,2.388275,0.022569,0.013866,0.014065
101,0.249596,-0.038630,0.273599,-2.350479,0.615560,1.974486,-0.439220,44.832859,2.482724,0.033803,0.012828,0.027142
102,0.281302,-0.042689,0.261253,-1.237339,2.062424,-0.512197,-0.374261,44.129246,2.507095,0.046198,0.009687,0.039022
103,0.235571,-0.097385,0.235545,-0.516213,2.044447,-2.802015,-0.302615,43.548458,2.451858,0.058243,0.005971,0.049951
104,0.196737,-0.124290,0.323443,0.056718,1.845458,-5.027524,-0.359838,43.501759,2.321366,0.054949,0.001332,0.062435
105,0.069774,-0.121826,0.318451,0.444088,0.454561,-6.579380,-0.399979,43.458340,2.127918,0.048953,-0.002899,0.076992
106,0.046548,-0.157985,0.232471,1.563786,-1.142747,-7.996513,-0.430514,43.387608,1.884986,0.041094,-0.008671,0.089274
107,-0.060168,-0.149935,0.232596,2.859305,-2.290672,-7.849963,-0.417431,43.295025,1.620878,0.032141,-0.015146,0.099410
108,-0.040999,-0.238165,0.046775,4.064951,-4.278581,-6.521816,-0.401614,43.183716,1.381348,0.023161,-0.023625,0.084554
109,0.122618,-0.240454,-0.180976,5.616982,-4.719202,-5.410349,-0.344445,43.043205,1.182479,0.019606,-0.034367,0.079708
110,0.245123,-0.201822,-0.186394,7.644998,-1.809003,-3.950176,-0.210674,42.916924,1.026470,0.027923,-0.044201,0.069033
111,0.292157,-0.143751,-0.059179,9.607399,1.526929,-2.117676,0.073022,42.857132,0.925339,0.040478,-0.041604,0.049491
112,0.368066,-0.196474,0.160613,11.522592,0.451953,-2.428434,0.403930,42.771706,0.849571,0.056106,-0.048886,0.050537
113,0.397862,-0.120662,0.232199,13.207213,-6.869437,-3.775826,0.775289,42.525150,0.746166,0.074378,-0.044807,0.058866
114,0.171384,0.044166,0.348336,14.177702,-15.466501,-4.511322,1.246158,42.043480,0.608047,0.070713,-0.036670,0.071889
115,0.056877,0.030827,0.207898,14.102932,-22.380470,-5.478759,1.727280,41.357819,0.441546,0.060889,-0.027059,0.084304
116,-0.043039,-0.020141,0.170352,14.063258,-27.403816,-6.499603,2.186188,40.504662,0.241907,0.048649,-0.020609,0.092269
