seq,ax,ay,az,roll,pitch,yaw
1,0.6279822587966919,-9.441317558288574,-1.9197849035263062,3.7069616317749023,-0.7164225578308105,-0.5637675523757935
2,0.5188881158828735,-9.474252700805664,-1.9307881593704224,2.8753321170806885,-0.9376816749572754,-0.411175012588501
3,0.5933367013931274,-9.52965259552002,-1.8672032356262207,1.7003695964813232,-1.0368669033050537,-0.0220639705657959
4,0.45646408200263977,-9.552395820617676,-2.0286123752593994,1.074739933013916,-0.9147927761077881,0.30601000785827637
5,0.4512256681919098,-9.537739753723145,-1.9814567565917969,2.2420730590820312,-0.4570152759552002,-0.15939724445343018
6,0.48200610280036926,-9.477076530456543,-1.9033188819885254,1.9521472454071045,-0.28153371810913086,-0.296730637550354
7,0.45524242520332336,-9.557727813720703,-1.9416828155517578,1.4409620761871338,-1.0139780044555664,-0.2280639410018921
8,0.5163661241531372,-9.560600280761719,-1.9532926082611084,1.7232582569122314,-0.98345947265625,-0.16702687740325928
9,0.5867915153503418,-9.604912757873535,-1.9369454383850098,2.08185076713562,-0.601978063583374,-0.2891010046005249
10,0.5745178461074829,-9.44361686706543,-1.949002742767334,2.135258197784424,-2.295755386352539,-0.5027304887771606
11,0.4477159082889557,-9.589553833007812,-1.8092000484466553,2.2573323249816895,-5.744346618652344,-0.8765822649002075
12,0.448856920003891,-9.680660247802734,-2.02109694480896,3.142369031906128,-11.359752655029297,-2.3109521865844727
13,0.5523793697357178,-9.05489444732666,-1.870425820350647,3.142369031906128,-17.738121032714844,-4.019989013671875
14,0.7581695318222046,-9.1920166015625,-2.1764683723449707,-2.3357033729553223,-30.342266082763672,-4.813469886779785
15,0.4832099974155426,-9.015610694885254,-1.9406447410583496,-4.655109882354736,-44.76226043701172,-7.102358341217041
16,0.37616583704948425,-9.749567985534668,-2.148059129714966,-2.6408886909484863,-56.885738372802734,-7.575395107269287
17,0.6216467618942261,-9.188451766967773,-1.8917595148086548,7.025849342346191,-67.95632934570312,-8.513838768005371
18,0.20701006054878235,-9.121563911437988,-1.7741191387176514,-3.876887798309326,-86.55735778808594,-7.399913311004639
19,0.1221703290939331,-9.588476181030273,-2.0629324913024902,-7.165257930755615,-110.17105865478516,-8.345987319946289
20,-0.4964258074760437,-9.253399848937988,-1.8840264081954956,-11.743034362792969,-118.44920349121094,-11.535171508789062
21,-0.708715558052063,-9.045641899108887,-2.149273157119751,-13.513107299804688,-119.8072738647461,-15.121095657348633
22,0.1749955713748932,-10.408421516418457,-3.3036389350891113,-18.335031509399414,-117.44209289550781,-19.24872398376465
