t_us,ax,ay,az,roll,pitch,yaw
36582990,0.8647223711013794,-9.742402076721191,-1.0143836736679077,-0.8784446716308594,-1.219977855682373,1.1071208715438843
36615912,0.8268567323684692,-9.699444770812988,-1.0517550706863403,0.8458514213562012,-2.135533332824707,1.3436392545700073
36648919,0.9469695091247559,-9.67211627960205,-1.0198826789855957,1.4104435443878174,-1.6548666954040527,0.7943060994148254
36681926,0.9045591354370117,-9.623344421386719,-0.8455984592437744,2.005554676055908,-1.2428667545318604,0.22208404541015625
36714934,0.9296305179595947,-9.874817848205566,-1.0217431783676147,0.28125858306884766,-2.8679773807525635,-0.060212135314941406
36748012,0.9690073728561401,-9.653680801391602,-1.0414901971817017,1.7537767887115479,-1.8074592351913452,-0.0449528694152832
36781045,0.9639465808868408,-9.507247924804688,-0.8899762630462646,1.5706658363342285,-0.3959782123565674,-0.5103601217269897
36813962,0.9907916784286499,-9.663832664489746,-0.9798229932785034,-0.12311124801635742,-0.8079779148101807,-0.8460637331008911
36846966,0.9344061613082886,-9.739328384399414,-1.0347325801849365,0.03711080551147461,-1.479385256767273,-0.5790268182754517
36879974,1.0475744009017944,-9.834310531616211,-0.994855523109436,1.1205177307128906,-0.365459680557251,-0.8155452013015747
36912982,0.9245313405990601,-9.827752113342285,-0.8214308023452759,2.394665479660034,1.6029841899871826,-1.3343600034713745
36945990,0.6386207342147827,-9.801678657531738,-0.3019246757030487,-1.0157780647277832,-1.4336074590682983,-3.646137237548828
36979042,0.2845676839351654,-9.38412857055664,-0.42314890027046204,-2.228888511657715,-12.63390064239502,-3.5240631103515625
37012044,0.6443167924880981,-9.318145751953125,-0.25271451473236084,-8.347848892211914,-24.52849006652832,-1.9599894285202026
37045017,-0.13179107010364532,-10.210556983947754,-1.108750581741333,-4.792443752288818,-31.311227798461914,-0.07547140121459961
37078118,-0.47280386090278625,-9.579329490661621,-0.9854462146759033,2.699850559234619,-48.60759353637695,-3.3638410568237305
37111029,0.9462052583694458,-10.321989059448242,-0.9144843816757202,7.788812160491943,-61.60847854614258,-6.308876991271973
37144037,1.5344083309173584,-8.660733222961426,-0.8448024988174438,22.925992965698242,-75.26551055908203,-11.046875
37177130,0.49814078211784363,-8.053752899169922,-3.055095911026001,-0.4588150978088379,-78.57676696777344,-8.399394035339355
37210057,1.3514546155929565,-10.741666793823242,-1.4506330490112305,-11.155553817749023,-67.62825775146484,-12.076874732971191
37243061,0.4810810387134552,-10.147659301757812,-0.36794599890708923,-8.019775390625,-72.22891998291016,-17.425243377685547
37276069,0.980396032333374,-10.31151008605957,-0.1944907158613205,-8.920072555541992,-87.11432647705078,-20.87383460998535
37309077,1.6845799684524536,-9.028135299682617,-1.7157726287841797,-15.298440933227539,-97.21595001220703,-26.267982482910156
37342085,1.4864280223846436,-8.209612846374512,-1.4193298816680908,-18.716514587402344,-96.81920623779297,-23.30768585205078
37375137,1.394562005996704,-8.819025039672852,-1.5325093269348145,-21.14273452758789,-95.8502426147461,-18.127168655395508
37408164,1.408623456954956,-9.223894119262695,-2.231261968612671,-22.081178665161133,-96.88787841796875,-13.785911560058594
37441112,1.4809027910232544,-9.652234077453613,-1.8890594244003296,-17.511032104492188,-99.21491241455078,-8.002654075622559
37474122,1.2754591703414917,-10.090624809265137,-1.8087960481643677,-11.186071395874023,-102.44987487792969,0.8019357323646545
37507124,1.0454537868499756,-10.320411682128906,-2.840911388397217,-5.166295528411865,-100.02365112304688,7.729637145996094
37540132,0.504297137260437,-8.724337577819824,-3.6222994327545166,-15.290811538696289,-81.95669555664062,5.539934158325195
37573218,0.1130114197731018,-9.616357803344727,-1.9839611053466797,-15.367107391357422,-74.31180572509766,4.113193988800049
37606174,0.26834890246391296,-9.845401763916016,-2.759983777999878,-14.375255584716797,-77.34839630126953,-3.2875447273254395
37639160,-0.7812427282333374,-9.543999671936035,-3.2107319831848145,-4.380443096160889,-80.25528717041016,-7.148135662078857
37672164,-0.8710311651229858,-9.306528091430664,-2.9928061962127686,1.448591709136963,-76.05899047851562,-7.499099254608154
37705172,-0.3073194921016693,-9.012228965759277,-2.530205011367798,5.56096076965332,-68.1318130493164,-10.001616477966309
37738200,-0.15904125571250916,-9.39026165008545,-2.5054666996002197,4.60725736618042,-62.74529266357422,-12.305763244628906
37771280,-0.40540796518325806,-9.273207664489746,-2.448706865310669,9.146885871887207,-53.79574203491211,-11.962430000305176
